path	binary
roland.ext.sd.dt.multi.timbre.part5.brightness	41DE00481210002411
roland.ext.sd.dt.multi.timbre.part5.resonance	41DE00481210002412
roland.ext.sd.dt.multi.timbre.part5.attackTime	41DE00481210002413
roland.ext.sd.dt.multi.timbre.part5.releaseTime	41DE00481210002414
roland.ext.sd.dt.multi.timbre.part5.octaveShift	41DE00481210002415
roland.ext.sd.dt.multi.timbre.part5.veloSensitivity	41DE00481210002416
roland.ext.sd.dt.multi.timbre.part5.keyRangeLow	41DE00481210002417
roland.ext.sd.dt.multi.timbre.part5.keyRangeHigh	41DE00481210002418
roland.ext.sd.dt.multi.timbre.part5.keyFadeLow	41DE00481210002419
roland.ext.sd.dt.multi.timbre.part5.keyFadeHigh	41DE0048121000241a
roland.ext.sd.dt.multi.timbre.part5.muteSwitch	41DE0048121000241b
roland.ext.sd.dt.multi.timbre.part5.dry	41DE0048121000241c
roland.ext.sd.dt.multi.timbre.part5.chorus	41DE0048121000241d
roland.ext.sd.dt.multi.timbre.part5.reverb	41DE0048121000241e
roland.ext.sd.dt.multi.timbre.part5.outputAssign	41DE0048121000241f
roland.ext.sd.dt.multi.timbre.part5.mfxSlot	41DE00481210002420
roland.ext.sd.dt.multi.timbre.part5.decayTime	41DE00481210002421
roland.ext.sd.dt.multi.timbre.part5.vibratoRate	41DE00481210002422
roland.ext.sd.dt.multi.timbre.part5.vibratoDepth	41DE00481210002423
roland.ext.sd.dt.multi.timbre.part5.vibratoDelay	41DE00481210002424
roland.ext.sd.dt.multi.timbre.part5.modDepth	41DE00481210002425
roland.ext.sd.dt.multi.timbre.part5.patPitch	41DE00481210002426
roland.ext.sd.dt.multi.timbre.part5.patBrightness	41DE00481210002427
roland.ext.sd.dt.multi.timbre.part5.patAmplitude	41DE00481210002428
roland.ext.sd.dt.multi.timbre.part5.patPitchDepth	41DE00481210002429
roland.ext.sd.dt.multi.timbre.part5.patFilterDepth	41DE0048121000242a
roland.ext.sd.dt.multi.timbre.part5.patAmplitudeDepth	41DE0048121000242b
roland.ext.sd.dt.multi.timbre.part5.ccNumber	41DE0048121000242c
roland.ext.sd.dt.multi.timbre.part5.ccPitch	41DE0048121000242d
roland.ext.sd.dt.multi.timbre.part5.ccBrightness	41DE0048121000242e
roland.ext.sd.dt.multi.timbre.part5.ccAmplitude	41DE0048121000242f
roland.ext.sd.dt.multi.timbre.part5.ccPitchDepth	41DE00481210002430
roland.ext.sd.dt.multi.timbre.part5.ccFilterDepth	41DE00481210002431
roland.ext.sd.dt.multi.timbre.part5.ccAmplitudeDepth	41DE00481210002432
roland.ext.sd.dt.multi.timbre.part5.scaleTune0	41DE00481210002433
roland.ext.sd.dt.multi.timbre.part5.scaleTune1	41DE00481210002434
roland.ext.sd.dt.multi.timbre.part5.scaleTune2	41DE00481210002435
roland.ext.sd.dt.multi.timbre.part5.scaleTune3	41DE00481210002436
roland.ext.sd.dt.multi.timbre.part5.scaleTune4	41DE00481210002437
roland.ext.sd.dt.multi.timbre.part5.scaleTune5	41DE00481210002438
roland.ext.sd.dt.multi.timbre.part5.scaleTune6	41DE00481210002439
